Sentence,Technique,Span,article_id,active,euphimism,details,exaggeration,bragging,litote,repetition,metaphor,he said,apparent denial,apparent concession,blame transfer,other kinds,opinion,irony
"In writing up a memo[1] on these documents that were entrusted to me, as Delegate for Pontifical Representations, on December 6, 2006, I wrote to my superiors, Cardinal Tarcisio Bertone and the Substitute Leonardo Sandri, that the facts attributed to McCarrick by Littleton were of such gravity and vileness as to provoke bewilderment, a sense of disgust, deep sorrow and bitterness in the reader, and that they constituted the crimes of seducing, requesting depraved acts of seminarians and priests, repeatedly and simultaneously with several people, derision of a young seminarian who tried to resist the Archbishop’s seductions in the presence of two other priests, absolution of the accomplices in these depraved acts, sacrilegious celebration of the Eucharist with the same priests after committing such acts.",Loaded_Language,deep sorrow,782086447,,,,,,,,,,,,,,,
"In writing up a memo[1] on these documents that were entrusted to me, as Delegate for Pontifical Representations, on December 6, 2006, I wrote to my superiors, Cardinal Tarcisio Bertone and the Substitute Leonardo Sandri, that the facts attributed to McCarrick by Littleton were of such gravity and vileness as to provoke bewilderment, a sense of disgust, deep sorrow and bitterness in the reader, and that they constituted the crimes of seducing, requesting depraved acts of seminarians and priests, repeatedly and simultaneously with several people, derision of a young seminarian who tried to resist the Archbishop’s seductions in the presence of two other priests, absolution of the accomplices in these depraved acts, sacrilegious celebration of the Eucharist with the same priests after committing such acts.",Loaded_Language,disgust,782086447,,,,,,,,,,,,,,,
"In yet another astonishing eyewitness report that contradicts the official story surrounding the worst mass shooting in American history, a married couple who were celebrating their 10th anniversary in Las Vegas at the time of the shooting have come forward to reveal that there was an active shooter inside the Bellagio Hotel around the same time that supposed lone gunman Stephen Paddock was found dead.",Loaded_Language,astonishing eyewitness report,697959084,,,,,,,,,,,,,,,
"In yet another striking example of a widespread cover-up currently underway regarding the worst mass shooting in American history, new air traffic control audio has been released that details the fact that there were multiple active shooters on the airports property which is extremely close to the venue where at least part of the attack took place.",Loaded_Language,widespread cover-up,703806098,,,,,,,,,,,,,,,
"In yet another striking example of a widespread cover-up currently underway regarding the worst mass shooting in American history, new air traffic control audio has been released that details the fact that there were multiple active shooters on the airports property which is extremely close to the venue where at least part of the attack took place.",Loaded_Language,striking example,703806098,,,,,,,,,,,,,,,
Indeed!,Thought-terminating_Cliches,Indeed!,721890296,,,,,,,,,,,,,,,
"Indeed, by his action he has divided them, led them into error, and encouraged the wolves to continue to tear apart the sheep of Christ’s flock.",Loaded_Language,encouraged the wolves to continue to tear apart the sheep,783702663,,,,,,,,,,,,,,,
"Indeed, the CHA issued only one public statement on the case and titled it the “House Theft Investigation” — wording that avoids cybersecurity words while political news coverage raged about other cybersecurity issues in the 2016 election.",Loaded_Language,raged about,769427494,,,,,,,,,,,,,,,
"Indeed, the contemptuous, snickering and roaring laughter of people, as they gaze at the pathetic rules and lives of Sharia’s gatekeepers, poses a danger to tyrants like no other.","Name_Calling,Labeling",tyrants,785801366,,,,,,,,,,,,,,,
"Indeed, the contemptuous, snickering and roaring laughter of people, as they gaze at the pathetic rules and lives of Sharia’s gatekeepers, poses a danger to tyrants like no other.",Loaded_Language,"contemptuous, snickering and roaring laughter",785801366,,,,,,,,,,,,,,,
"Indeed, the contemptuous, snickering and roaring laughter of people, as they gaze at the pathetic rules and lives of Sharia’s gatekeepers, poses a danger to tyrants like no other.",Loaded_Language,pathetic rules and lives,785801366,,,,,,,,,,,,,,,
"Indeed, the contemptuous, snickering and roaring laughter of people, as they gaze at the pathetic rules and lives of Sharia’s gatekeepers, poses a danger to tyrants like no other.","Name_Calling,Labeling",Sharia’s gatekeepers,785801366,,,,,,,,,,,,,,,
"Indeed, why else did Archbishop Viganò risk everything in order to expose this Pope, even to the extent of revealing matters supposedly within the scope of “the Pontifical secret”?","Exaggeration,Minimisation",risk everything,788056108,,,,,,,,,,,,,,,
"India wants to tackle both those firsts in one fell swoop this year, with its Chandrayaan-2 mission, a trio of orbiter, lander and rover that would represent the country's second visit to the moon.",Loaded_Language,in one fell swoop,727405181,,,,,,,,,,,,,,,
Indoctrination means to teach a person to accept a belief uncritically.,Repetition,Indoctrination,762546428,,,,,,,,,,,,,,,
Influential Roman: Does he have a chance?,Repetition,Influential,776049384,,,,,,,,,,,,,,,
Influential Roman: He could do it you know.,Repetition,Influential,776049384,,,,,,,,,,,,,,,
Influential Roman: He could reform the Church.,Repetition,Influential,776049384,,,,,,,,,,,,,,,
Influential Roman: I know you are his friend.,Repetition,Influential,776049384,,,,,,,,,,,,,,,
Influential Roman: Talk him up.,Repetition,Influential,776049384,,,,,,,,,,,,,,,
Influential Roman: What about Bergoglio?,Repetition,Influential,776049384,,,,,,,,,,,,,,,
Information has come out that the Crown Prosecution Service tried to prevent the Swedes from giving up the case against Julian on bogus sexual assault charges.,Loaded_Language,bogus sexual assault charges,778139122,,,,,,,,,,,,,,,
Inhuman and criminal annihilation runs in the veins of many in the West.,Appeal_to_fear-prejudice,Inhuman and criminal annihilation runs in the veins of many in the West,766632016,,,,,,,,,,,,,,,
Inhuman and criminal annihilation runs in the veins of many in the West.,Repetition,annihilation,766632016,,,,,,,,,,,,,,,
Inhuman and criminal annihilation runs in the veins of many in the West.,Loaded_Language,Inhuman and criminal annihilation,766632016,,,,,,,,,,,,,,,
Inspector General Horowitz saw no problem with this pattern of obfuscation regarding the deletion of the legally significant phrase “gross negligence” from Comey’s statement.,Repetition,gross negligence,764518567,,,,,,,,,,,,,,,
"Inspector General Michael Horowitz’ report on the FBI’s handling of the Clinton email investigation has finally been released to the public and while it does indeed lambaste former FBI Director James Comey for his terrible judgment and handling of the Clinton investigation, it stops short of blaming it all on politics.",Loaded_Language,terrible,764609985,,,,,,,,,,,,,,,
"Instead he predicted he could ""solve a big problem, a big dilemma"" alongside his new partner.",Loaded_Language,big problem,111111131,,,,,,,,,,,,,,,
"Instead he predicted he could ""solve a big problem, a big dilemma"" alongside his new partner.",Loaded_Language,big dilemma,111111131,,,,,,,,,,,,,,,
"Instead of fighting on their behalf against the federal government that is illegally indoctrinating them, they simply give their kids over to them to be dumbed down.",Doubt,"Instead of fighting on their behalf against the federal government that is illegally indoctrinating them, they simply give their kids over to them to be dumbed down",781768042,,,,,,,,,,,,,,,
"Instead of fighting on their behalf against the federal government that is illegally indoctrinating them, they simply give their kids over to them to be dumbed down.",Loaded_Language,illegally indoctrinating them,781768042,,,,,,,,,,,,,,,
"Instead of preaching out against sin, they advocate for that which God clearly condemns, thereby making war against God (Micah 3:5), which at length destroys our government, our country and our families.",Doubt,"Instead of preaching out against sin, they advocate for that which God clearly condemns, thereby making war against God (Micah 3:5), which at length destroys our government, our country and our families",781768042,,,,,,,,,,,,,,,
"Instead of reaching out to the greatest demographic here in America, public high schools, they send missionaries to foreign lands to do there what they fail to do for their own here.",Flag-Waving,"Instead of reaching out to the greatest demographic here in America, public high schools, they send missionaries to foreign lands to do there what they fail to do for their own here",781768042,,,,,,,,,,,,,,,
"Instead of reaching out to the greatest demographic here in America, public high schools, they send missionaries to foreign lands to do there what they fail to do for their own here.
Instead of fighting for their posterity and shutting down the illegalities of sodomy in all 50 states, they teach them to just do their best to understand that they cannot help themselves while God say’s the opposite (Leviticus 20:18).",Doubt,"Instead of reaching out to the greatest demographic here in America, public high schools, they send missionaries to foreign lands to do there what they fail to do for their own here.
Instead of fighting for their posterity and shutting down the illegalities of sodomy in all 50 states, they teach them to just do their best to understand that they cannot help themselves while God say’s the opposite (Leviticus 20:18",781768042,,,,,,,,,,,,,,,
Instead the Muslim terrorist had been “mentally ill” and was probably not even fit to stand trial.,Repetition,“mentally ill”,774007496,,,,,,,,,,,,,,,
"Instead, President Trump’s POLICIES have actually made life more difficult for Putin at every turn.",Loaded_Language,POLICIES,774145019,,,,,,,,,,,,,,,
"Instead, Trump fell in with anti-Second Amendment liberals and started calling for more gun control, adding “mental health” restrictions to gun purchases and making his stupid Stalinist statements about taking guns first and worrying about due process later.","Bandwagon,Reductio_ad_hitlerum",making his stupid Stalinist statements about taking guns first and worrying about due process later,737194975,,,,,,,,,,,,,,,
"Instead, Wilson has spent the last years on an unlikely project for an anarchist: Not simply defying or skirting the law but taking it to court and changing it.","Name_Calling,Labeling",an anarchist,771879020,,,,,,,,,,,,,,,
"Instead, he has become the poster boy for one of the most egregious gun control machinations of all: gun confiscation.","Exaggeration,Minimisation",one of the most egregious gun control machinations of all: gun confiscation,737194975,,,,,,,,,,,,,,,
"Instead, he has become the poster boy for one of the most egregious gun control machinations of all: gun confiscation.",Loaded_Language,egregious,737194975,,,,,,,,,,,,,,,
"Instead, if they have taken any notice of him at all, which is unlikely, they have dismissed him as an “extremist.”","Name_Calling,Labeling",an “extremist,782149225,,,,,,,,,,,,,,,
"Instead, it is a virtual certainly that when Art of the Deal Trump sent out those two tweets, he was sending a message to the CIA as part of the negotiations: Give me what I want or I will release the records.",Causal_Oversimplification,"it is a virtual certainly that when Art of the Deal Trump sent out those two tweets, he was sending a message to the CIA as part of the negotiations",701837665,,,,,,,,,,,,,,,
"Instead, it is a virtual certainly that when Art of the Deal Trump sent out those two tweets, he was sending a message to the CIA as part of the negotiations: Give me what I want or I will release the records.",Appeal_to_fear-prejudice,Give me what I want or I will release the records,701837665,,,,,,,,,,,,,,,
"Instead, it is a virtual certainly that when Art of the Deal Trump sent out those two tweets, he was sending a message to the CIA as part of the negotiations: Give me what I want or I will release the records.",Repetition,Art of the Deal Trump,701837665,,,,,,,,,,,,,,,
"Instead, now women are Victorian hothouse flowers too delicate to make their way through their lives without the paternal federal government protecting them with its coercive power.","Name_Calling,Labeling",Victorian hothouse flowers,789615291,,,,,,,,,,,,,,,
"Instead, the left and right are involved in a mudslinging orgy of victim shaming and kangaroo courts.",Loaded_Language,a mudslinging orgy of victim shaming and kangaroo courts,790665855,,,,,,,,,,,,,,,
"Instead, they have steadfastly stuck with the official story, one that has all the characteristics of a pat frame-up: That Oswald acted alone or possibly acted in concert with others, both of which lead to nothing but dead ends, contradictions, and anomalies.",Loaded_Language,pat frame-up,700551604,,,,,,,,,,,,,,,
"Instead, they’re so hellbent on destroying President Trump that they have directed all their energy to retailing Soviet fictions and titillating porn stories.",Loaded_Language,hellbent on destroying President Trump,758512204,,,,,,,,,,,,,,,
"Instead, they’re so hellbent on destroying President Trump that they have directed all their energy to retailing Soviet fictions and titillating porn stories.",Loaded_Language,retailing Soviet fictions and titillating porn stories,758512204,,,,,,,,,,,,,,,
"Instead, through a combination of rhetorical tricks and soft-peddled Hegelianism, he would completely redefine the role and nature of the Catholic Church.",Loaded_Language,a combination of rhetorical tricks and soft-peddled Hegelianism,727869189,,,,,,,,,,,,,,,
Intelligence agencies were scrambling Tuesday to comply with a sweeping order by President Trump to declassify key documents that could shed light on the origins of the Russia collusion probe that has hamstrung the administration for more than 18 months.,Loaded_Language,were scrambling,111111124,,,,,,,,,,,,,,,
Intelligence agencies were scrambling Tuesday to comply with a sweeping order by President Trump to declassify key documents that could shed light on the origins of the Russia collusion probe that has hamstrung the administration for more than 18 months.,Loaded_Language,has hamstrung the administration for more than 18 months,111111124,,,,,,,,,,,,,,,
"Interesting enough, in the Chile regime-change operation, the CIA and the Pentagon were telling their counterparts in the Chilean national-security establishment that they had a moral duty to violate their nation’s constitution and violently remove their nation’s democratically elected president, Salvador Allende, from office.",Loaded_Language,violently remove,703821117,,,,,,,,,,,,,,,
"Interestingly, there are also reports that Stephen Paddock’s girlfriend actually deleted her Facebook page an hour before police released her boyfriends name.",Doubt,Interestingly,724095598,,,,,,,,,,,,,,,
"Investigators have drawn theories including that were targeted by sonic attacks, where the symptoms included dizziness, headaches and vomiting.",Repetition,sonic attacks,758477392,,,,,,,,,,,,,,,
"Inzoli had even abused boys in the confessional, convincing them that the abuse was approved by God.",Loaded_Language,the abuse was approved by God,725498022,,,,,,,,,,,,,,,
"Iran has dismissed as ""lies"" and ""ridiculous"" the charge that it sent the drone into Israeli airspace.",Loaded_Language,"lies"" and ""ridiculous""",730389374,,,,,,,,,,,,,,,
"Iran has tested several ballistic missiles during the last two years, including two Qadr H missiles with the phrase “Israel must be wiped out” emblazoned on the sides.",Slogans,Israel must be wiped out”,698503276,,,,,,,,,,,,,,,
"Iran must be judged in totality of its aggressive, destabilizing, and unlawful behavior.",Loaded_Language,"its aggressive, destabilizing, and unlawful behavior",699478811,,,,,,,,,,,,,,,
"Iran must be judged in totality of its aggressive, destabilizing, and unlawful behavior.",Repetition,unlawful behavior,699478811,,,,,,,,,,,,,,,
"Iran state TV news presenter: Listen to leader of Nation of Islam chanting ""Death to America"" Farrakhan [in Farsi]: ""Death to…""",Repetition,Death to America,999000675,,,,,,,,,,,,,,,
Iran’s mischief-making extends far and wide but it is in the Arabian Gulf where friction between the IRGC and the United States Navy remains constant.,Loaded_Language,mischief-making,727569885,,,,,,,,,,,,,,,
"Irmgard Lehner, the pastoral assistant of the Wels-St. Franziskus Church, the other of the two parishes that welcome homosexual couples, appreciates this blessing ritual for Valentine's Day, saying it has “an enormous power.” During the ceremony, couples come forward in church and receive a hand on their foreheads and a sign of the cross.",Loaded_Language,it has “an enormous power.”,731513824,,,,,,,,,,,,,,,
"Ironically, the seizure occurred on the very day that Obama was to give his State of the Union address but predictably, he didn’t think that the seizure of Americans was important enough to note.",Flag-Waving,he didn’t think that the seizure of Americans was important enough to note,727569885,,,,,,,,,,,,,,,
"Ironically, your pontificate has given those who hold harmful theological and pastoral views the license and confidence to come into the light and expose their previously hidden darkness….",Loaded_Language,"Ironically, your pontificate has given those who hold harmful theological and pastoral views the license and confidence to come into the light and expose their previously hidden darkness…",705409419,,,,,,,,,,,,,,,
"Irony of ironies, he is now reduced to defending what is old and tired and corrupt against a restoration, led largely by a youthful vanguard, of what is ever ancient but ever new.","Name_Calling,Labeling",a youthful vanguard,783702663,,,,,,,,,,,,,,,
"Irony of ironies, he is now reduced to defending what is old and tired and corrupt against a restoration, led largely by a youthful vanguard, of what is ever ancient but ever new.",Loaded_Language,of what is ever ancient but ever new,783702663,,,,,,,,,,,,,,,
"Irony of ironies, he is now reduced to defending what is old and tired and corrupt against a restoration, led largely by a youthful vanguard, of what is ever ancient but ever new.",Loaded_Language,Irony of ironies,783702663,,,,,,,,,,,,,,,
"Irony of ironies, the latter-day Pharisees and legalists Francis sees around every corner are hard at work defending Amoris Laetitia at the very moment it is being cited by bishop after bishop as their sole authority for admitting public adulterers to Holy Communion---while Francis does nothing but approve.",Loaded_Language,Irony of ironies,697454736,,,,,,,,,,,,,,,
"Irony of ironies, the latter-day Pharisees and legalists Francis sees around every corner are hard at work defending Amoris Laetitia at the very moment it is being cited by bishop after bishop as their sole authority for admitting public adulterers to Holy Communion---while Francis does nothing but approve.","Whataboutism,Straw_Men,Red_Herring",while Francis does nothing,697454736,,,,,,,,,,,,,,,
Is co-sponsoring events with a hate group that has sponsored talks by a woman who accused Jews of drinking blood also apolitical scholarship?,Loaded_Language,accused Jews of drinking blood,696264594,,,,,,,,,,,,,,,
Is it any wonder Habib Powell was a major White House source of the negative leaks to the enemedia?,Loaded_Language,enemedia,793534424,,,,,,,,,,,,,,,
"Is it any wonder that priests and laity alike are changing their attitude on the ""gay lifestyle"" and violations of the Sixth Commandment when so many bishops are working to remove the stigma attached to this sin that Scripture tells us cries to heaven for vengeance?","Name_Calling,Labeling","the ""gay lifestyle",778664280,,,,,,,,,,,,,,,
"Is it any wonder that priests and laity alike are changing their attitude on the ""gay lifestyle"" and violations of the Sixth Commandment when so many bishops are working to remove the stigma attached to this sin that Scripture tells us cries to heaven for vengeance?",Loaded_Language,cries to heaven for vengeance,778664280,,,,,,,,,,,,,,,
"Is it any wonder that priests and laity alike are changing their attitude on the ""gay lifestyle"" and violations of the Sixth Commandment when so many bishops are working to remove the stigma attached to this sin that Scripture tells us cries to heaven for vengeance?",Doubt,"Is it any wonder that priests and laity alike are changing their attitude on the ""gay lifestyle"" and violations of the Sixth Commandment when so many bishops are working to remove the stigma attached to this sin that Scripture tells us cries to heaven for vengeance",778664280,,,,,,,,,,,,,,,
Is it any wonder that so many Catholics have become disaffected?,Doubt,Is it any wonder that so many Catholics have become disaffected,738207834,,,,,,,,,,,,,,,
Is it out of an earnest desire to display a misguided sense of being “pastoral?” Have we covered over the truth out of fear?,"Name_Calling,Labeling",pastoral,780414700,,,,,,,,,,,,,,,
Is it possible someone planted this story as a means to discredit the journalists?,Doubt,Is it possible someone planted this story as a means to discredit the journalists,999001621,,,,,,,,,,,,,,,
Is the principal acting on this?,Doubt,Is the principal acting on this?,758756657,,,,,,,,,,,,,,,
Is this a violation of God's principles when it came to submission to authority?,Repetition,violation of God's principles,773520636,,,,,,,,,,,,,,,
Is this the America Maxine Waters wanted?,Flag-Waving,Is this the America Maxine Waters wanted?,769962236,,,,,,,,,,,,,,,
Is this what Bolton has in mind for North Korea?,Doubt,Is this what Bolton has in mind for North Korea?,757713354,,,,,,,,,,,,,,,
"Isaiah says that such people draw unto them God's punishment, with thick cords!",Appeal_to_fear-prejudice,"Isaiah says that such people draw unto them God's punishment, with thick cords",730559808,,,,,,,,,,,,,,,
"Isaiah says that such people draw unto them God's punishment, with thick cords!",Appeal_to_Authority,"Isaiah says that such people draw unto them God's punishment, with thick cords!",730559808,,,,,,,,,,,,,,,
Islamic Jihad) and definitively identify what ideology inspires our enemy (i.e.,Repetition,our enemy,785801366,,,,,,,,,,,,,,,
"Islamic Jihad) and definitively identify what ideology inspires our enemy (i.e.
Islamic law).","Name_Calling,Labeling","our enemy (i.e.
Islamic law",785801366,,,,,,,,,,,,,,,
Islamic institutions have to be made to buffer their lip-service against terror with actually doing something about it.,Loaded_Language,buffer their lip-service against terror,785801366,,,,,,,,,,,,,,,
Islam’s core beliefs make it clear that the latter statement is closer to the truth.,Causal_Oversimplification,Islam’s core beliefs make it clear that the latter statement is closer to the truth,759468687,,,,,,,,,,,,,,,
Isn’t he prejudging the case without even finding out what actually happened?,Doubt,Isn’t he prejudging the case without even finding out what actually happened?,762152527,,,,,,,,,,,,,,,
"Israel has hypnotized the world, may Allah awaken the people and help them see the evil doings of Israel.",Repetition,the evil doings of Israel,999000149,,,,,,,,,,,,,,,
"Israel has hypnotized the world, may Allah awaken the people and help them see the evil doings of Israel.","Exaggeration,Minimisation",Israel has hypnotized the world,999000149,,,,,,,,,,,,,,,
"Israel has hypnotized the world, may Allah awaken the people and help them see the evil doings of Israel.",Loaded_Language,hypnotized,999000149,,,,,,,,,,,,,,,
Israel has some of the most wickedly experimental munitions in the world and they fired them at people who were protesting the occupation of their homeland and trying to remind people of the Nakba and the right of return.,"Exaggeration,Minimisation",some of the most wickedly experimental munitions in the world,763260610,,,,,,,,,,,,,,,
Israel has some of the most wickedly experimental munitions in the world and they fired them at people who were protesting the occupation of their homeland and trying to remind people of the Nakba and the right of return.,Loaded_Language,wickedly experimental munitions,763260610,,,,,,,,,,,,,,,
"It absolutely would have made a difference.” Reached by TPM on Thursday, Muhammad said a “staff member” for the CBC contacted him “sort of in a panic” after he took the photo at a caucus meeting in 2005.",Loaded_Language,sort of in a panic,725731328,,,,,,,,,,,,,,,
"It absolutely would have made a difference.” Reached by TPM on Thursday, Muhammad said a “staff member” for the CBC contacted him “sort of in a panic” after he took the photo at a caucus meeting in 2005.",Loaded_Language,sort of in a panic,725824328,,,,,,,,,,,,,,,
It also became an main outlet for manipulative propaganda peddled by the British secret services.,"Name_Calling,Labeling",manipulative propaganda,999001621,,,,,,,,,,,,,,,
"It also bemoans that he has allegedly “bigoted attitude towards women, ethnic minorities and Muslims which has resulted in examples of division and hatred within the USA and beyond” and attacks his “illogical” decision to move the U.S. embassy in Israel to Jerusalem.",Loaded_Language,"he has allegedly “bigoted attitude towards women, ethnic minorities and Muslims",724791253,,,,,,,,,,,,,,,
"It also calls into question his stated empathy with abuse survivors, compounding the most serious crisis of his five-year papacy.",Doubt,It also calls into question his stated empathy with abuse survivors,729578579,,,,,,,,,,,,,,,
It appears in the document 16 times and “autonomous” 30 times.,Repetition,autonomous,758386255,,,,,,,,,,,,,,,
"It appears the Guardian has simply taken this story, provided by spooks, at face value.","Name_Calling,Labeling",spooks,999001619,,,,,,,,,,,,,,,
"It appears the Guardian has simply taken this story, provided by spooks, at face value.
Even if it later turns out that Manafort did visit Assange, the Guardian clearly had no compelling evidence for its claims when it published them.
That is profoundly irresponsible journalism – fake news – that should be of the gravest concern to readers.",Doubt,"It appears the Guardian has simply taken this story, provided by spooks, at face value.
Even if it later turns out that Manafort did visit Assange, the Guardian clearly had no compelling evidence for its claims when it published them.
That is profoundly irresponsible journalism – fake news – that should be of the gravest concern to readers",999001619,,,,,,,,,,,,,,,
"It beggars belief of ordinary people that, after so many years of hearing and reading them, Ratzinger would remain on such friendly terms with men like Walter Kasper and Carlo Maria Martini, the alleged brains of the Sankt Gallen Mafia.","Name_Calling,Labeling",alleged brains of the Sankt Gallen Mafia,738207834,,,,,,,,,,,,,,,
It collaborates in the same way that the Vichy government in France collaborated with the Nazis.,"Bandwagon,Reductio_ad_hitlerum",It collaborates in the same way that the Vichy government in France collaborated with the Nazis,778139122,,,,,,,,,,,,,,,
"It continues to be the wages of sin (Rom 6:23), and men must still submit to it sooner or later by forfeiting their lives, either willingly or unwillingly.",Loaded_Language,the wages of sin,777488669,,,,,,,,,,,,,,,
It could be comatose.,Loaded_Language,comatose,761610997,,,,,,,,,,,,,,,
"It describes the tsunami of vindictive personal abuse that has been heaped upon Julian from well-known journalists, many claiming liberal credentials.",Loaded_Language,the tsunami of vindictive personal abuse,778139122,,,,,,,,,,,,,,,
"It describes the tsunami of vindictive personal abuse that has been heaped upon Julian from well-known journalists, many claiming liberal credentials.","Exaggeration,Minimisation",the tsunami of vindictive personal abuse,778139122,,,,,,,,,,,,,,,
"It describes the tsunami of vindictive personal abuse that has been heaped upon Julian from well-known journalists, many claiming liberal credentials.",Loaded_Language,heaped upon,778139122,,,,,,,,,,,,,,,
It did not allow Iran to conduct commercial transactions in foreign currencies via the US banking system.,Repetition,It did not allow,762200179,,,,,,,,,,,,,,,
It did not allow Iran to send funds to the US or receive funds from the US.,Repetition,It did not allow,762200179,,,,,,,,,,,,,,,
It did not allow Iranian parties to open accounts or correspondent accounts at US banks.,Repetition,It did not allow,762200179,,,,,,,,,,,,,,,
It doesn’t take much to trigger these people.,Loaded_Language,to trigger,999000565,,,,,,,,,,,,,,,
"It fell sharply in the months after the 2016 election, but roared back to Obama-era levels in the spring.","Name_Calling,Labeling",Obama-era levels,761968851,,,,,,,,,,,,,,,
"It fell sharply in the months after the 2016 election, but roared back to Obama-era levels in the spring.",Loaded_Language,roared back,761968851,,,,,,,,,,,,,,,
It goes without saying that this retraction and surrender by Facebook occurred only because of the wide publicity that Jamie's banning had received.,Causal_Oversimplification,It goes without saying that this retraction and surrender by Facebook occurred only because of the wide publicity that Jamie's banning had received,787002327,,,,,,,,,,,,,,,
"It goes without saying that we here at The Remnant not only stand with Viganò but we thank God for him every day, we pray the Rosary for him every day, and wish him every blessing and heavenly consolation as he undergoes this passion for the sake of the Master he serves so well.",Loaded_Language,wish him every blessing and heavenly consolation as he undergoes this passion for the sake of the Master he serves so well,790483991,,,,,,,,,,,,,,,
"It has become a superdogma in the Catholic Church: if you don’t believe that Islam is a Religion of Peace, you will be ruthlessly harassed and silenced by the U.S. Conference of Catholic Bishops and the hierarchy elsewhere as well.",Appeal_to_fear-prejudice,"if you don’t believe that Islam is a Religion of Peace, you will be ruthlessly harassed and silenced by the U.S. Conference of Catholic Bishops and the hierarchy elsewhere as well",722512241,,,,,,,,,,,,,,,
"It has been at the forefront of the relentless, and unhinged, attacks on Labour leader Jeremy Corbyn for prioritising the rights of Palestinians over Israel’s right to continue its belligerent occupation.",Loaded_Language,"relentless, and unhinged, attacks",999001619,,,,,,,,,,,,,,,
"It has been at the forefront of the relentless, and unhinged, attacks on Labour leader Jeremy Corbyn for prioritising the rights of Palestinians over Israel’s right to continue its belligerent occupation.","Name_Calling,Labeling",belligerent occupation,999001619,,,,,,,,,,,,,,,
It has since been revealed that it was Joseph Ratzinger – the maverick “progressive” academic theologian Frings had brought to Rome as his secretary – who wrote that speech.,"Name_Calling,Labeling",progressive” academic theologian Frings,738207834,,,,,,,,,,,,,,,
"It is a month for fighting the enemies of Allah and God’s messenger, the Jews and their American facilitators.” Referring to a jihad attack that happened at that time, the message continued: “One of our groups aided by Allah managed to bomb a bus full of Jewish tourists, plunderers of holy lands, after careful tracking.","Name_Calling,Labeling",American facilitators,759468687,,,,,,,,,,,,,,,
"It is a month for fighting the enemies of Allah and God’s messenger, the Jews and their American facilitators.” Referring to a jihad attack that happened at that time, the message continued: “One of our groups aided by Allah managed to bomb a bus full of Jewish tourists, plunderers of holy lands, after careful tracking.","Name_Calling,Labeling","Jewish tourists, plunderers of holy lands",759468687,,,,,,,,,,,,,,,
"It is a month for fighting the enemies of Allah and God’s messenger, the Jews and their American facilitators.” Referring to a jihad attack that happened at that time, the message continued: “One of our groups aided by Allah managed to bomb a bus full of Jewish tourists, plunderers of holy lands, after careful tracking.",Loaded_Language,aided by Allah,759468687,,,,,,,,,,,,,,,
It is a true disgrace.,Loaded_Language,It is a true disgrace,778139122,,,,,,,,,,,,,,,
It is absolutely mind-boggling that nothing of this sort exists today in our terror war — and it is a reflection of the Left being in charge and of the destructive defeat that it is sowing.,Loaded_Language,absolutely mind-boggling,785801366,,,,,,,,,,,,,,,
It is absolutely mind-boggling that nothing of this sort exists today in our terror war — and it is a reflection of the Left being in charge and of the destructive defeat that it is sowing.,Loaded_Language,destructive defeat,785801366,,,,,,,,,,,,,,,
It is almost as if the word “journalism” is becoming blighted.,Loaded_Language,the word “journalism” is becoming blighted,763260610,,,,,,,,,,,,,,,
It is an act of love to hate sin and to call others to turn away from sin.,Causal_Oversimplification,It is an act of love to hate sin and to call others to turn away from sin,780414700,,,,,,,,,,,,,,,
It is as if a one-way moral screen has been pushed back to expose the imperialism of liberal democracies: the commitment to endless warfare and the division and degradation of “unworthy” lives: from Grenfell Tower to Gaza.,Loaded_Language,division and degradation of “unworthy” lives,765385479,,,,,,,,,,,,,,,
It is as if a one-way moral screen has been pushed back to expose the imperialism of liberal democracies: the commitment to endless warfare and the division and degradation of “unworthy” lives: from Grenfell Tower to Gaza.,Loaded_Language,a one-way moral screen has been pushed back to expose the imperialism of liberal democracies,765385479,,,,,,,,,,,,,,,
It is as if a one-way moral screen has been pushed back to expose the imperialism of liberal democracies: the commitment to endless warfare and the division and degradation of “unworthy” lives: from Grenfell Tower to Gaza.,"Exaggeration,Minimisation",endless warfare,765385479,,,,,,,,,,,,,,,
"It is as if a one-way moral screen has been pushed back to expose the imperialism of liberal democracies: the commitment to endless warfare … When Harold Pinter accepted the Nobel Prize for Literature in 2005, he referred to ‘a vast tapestry of lies up on which we feed.’ He asked why ‘the systematic brutality, the widespread atrocities, the ruthless suppression of independent thought’ of the Soviet Union were well known in the West while America’s imperial crimes “never happened … even while [they] were happening, they never happened.’”",Loaded_Language,"the systematic brutality, the widespread atrocities, the ruthless suppression of independent thought",765982381,,,,,,,,,,,,,,,
"It is as if a one-way moral screen has been pushed back to expose the imperialism of liberal democracies: the commitment to endless warfare … When Harold Pinter accepted the Nobel Prize for Literature in 2005, he referred to ‘a vast tapestry of lies up on which we feed.’ He asked why ‘the systematic brutality, the widespread atrocities, the ruthless suppression of independent thought’ of the Soviet Union were well known in the West while America’s imperial crimes “never happened … even while [they] were happening, they never happened.’”",Loaded_Language,a one-way moral screen has been pushed back to expose the imperialism of liberal democracies,765982381,,,,,,,,,,,,,,,
